5.968					
4.157					
4.109					
4.125					
4.109					
4.11					
4.156				Kolumn1	
4.125					
4.094				Medelvärde	4.024157
4.125				Standardfel	0.003089814
4.094				Medianvärde	4
4.125				Typvärde	4
4.125				Standardavvikelse	0.097708502
4.125				Varians	0.009546951
4.125				Toppighet	170.6883306
4.109				Snedhet	10.56605358
4.094				Variationsvidd	2.015
4.125				Minimum	3.953
4.125				Maximum	5.968
4.078				Summa	4024.157
4.109				Antal	1000
4.094				Konfidensnivå(95.0%)	0.00606327
4.109				Upper cl(95%)	4.03022027
4.11				Lower cl(95%)	4.01809373
4.109					
4.141					
4.109					
4.125					
4.125					
4.125					
4.141					
4.109					
4.109					
4.125					
4.11					
4.031					
4.109					
4.157					
4.234					
4.063					
4.015					
4					
4.016					
3.984					
4					
4.016					
4.015					
3.985					
3.985					
3.984					
4.188					
4.093					
4					
4.016					
4					
4.016					
4					
4					
4.047					
4					
3.985					
4					
4.015					
4					
4.016					
4.047					
4.031					
3.984					
4					
4					
4.016					
4.016					
3.984					
4					
4.016					
4.015					
4.016					
4.015					
4					
4					
4					
4					
4.016					
4					
4.015					
4					
4.016					
4					
3.984					
4.016					
4					
4.031					
4.016					
4.015					
4					
4.016					
4.016					
4					
4.015					
3.985					
4					
4					
4.031					
4.016					
4.015					
4.016					
4.015					
4.016					
4.031					
4					
4.094					
4.015					
4.016					
4					
4					
3.984					
3.984					
4					
4.016					
3.984					
4					
3.985					
4					
4					
4					
4					
4.016					
4					
4					
4					
3.984					
4					
4					
4					
4					
4.016					
4					
4.015					
4.031					
4.016					
4.016					
4.015					
4					
4.016					
4.016					
4.015					
4.016					
3.984					
4					
4.031					
4.016					
4					
4					
4					
4.016					
3.984					
4.031					
3.985					
4					
3.984					
4					
4					
4.016					
4.015					
3.985					
4					
3.985					
4.015					
4.032					
4					
4					
4					
3.985					
4					
4					
4					
4					
4.015					
4					
3.985					
4.015					
4					
4					
4.015					
4					
4.016					
4					
4					
4.078					
4.016					
3.984					
4					
4					
4.016					
4.015					
4					
4					
4.016					
4.016					
4					
4.015					
4.016					
4					
4.031					
4					
4.016					
4.031					
4					
3.984					
4					
3.985					
4.016					
3.984					
4					
4					
4.016					
4.016					
4.015					
4.016					
4.016					
3.985					
3.984					
4.016					
3.969					
4.016					
4					
4					
4.015					
4					
3.985					
4.015					
4					
4.031					
4.016					
4					
4					
3.984					
4					
4.016					
4.016					
4.015					
4					
4.016					
4.016					
4					
4.015					
4.031					
3.985					
4.015					
4.032					
4					
4.015					
3.985					
4.031					
4.016					
4					
4					
4.015					
4.031					
4.032					
4.015					
4.016					
3.984					
4					
4					
4.016					
4					
4.015					
4					
4.016					
4.015					
4.016					
4.016					
4.015					
4.032					
4.015					
4.047					
4					
4.016					
4.015					
4					
4.032					
4.015					
4.031					
4					
4					
3.984					
4.016					
4					
4					
4.016					
4.047					
4.015					
4.016					
4.015					
4					
3.985					
4.016					
4					
4.016					
4.015					
4					
4.016					
4.016					
4					
4.015					
4.016					
4.031					
4.016					
4					
3.984					
4.031					
4.016					
4					
4					
4.016					
3.984					
4.031					
4					
4					
4.015					
4					
4					
4.016					
4					
4					
4.015					
4					
4					
4.016					
4.015					
4.016					
4.031					
4.016					
4.031					
4.578					
4.109					
4.016					
4					
4.031					
4.032					
4					
4.031					
4					
4.032					
4.015					
4.016					
4.016					
4.015					
3.984					
3.985					
4					
4					
4.015					
4					
4					
4					
4.016					
4					
4.031					
4.016					
4					
4					
4					
4					
4.015					
4.016					
4.016					
3.984					
4.031					
3.985					
4.015					
4.031					
3.969					
4.016					
4.016					
4					
4.016					
4					
3.984					
4.016					
4					
4.015					
4.032					
4.015					
3.985					
4.015					
4.031					
4					
4.016					
4					
4					
4					
4.016					
4.015					
4.016					
4.016					
4.015					
4					
4.016					
4					
3.984					
4.016					
4					
4.015					
4					
4.016					
4.031					
4.032					
4					
4					
4.015					
4.078					
4					
3.985					
4.015					
4					
4					
4					
3.985					
4.015					
4					
4.016					
4.031					
3.985					
4.015					
4.016					
4					
4.031					
4.016					
4					
4.015					
4.016					
4					
3.984					
4.016					
4.016					
4.015					
4.016					
4					
4.015					
4.016					
4.016					
3.984					
4.016					
4.015					
4.016					
4					
4					
3.984					
4.032					
3.984					
4.031					
4.015					
3.984					
3.985					
4.031					
4					
3.984					
4.016					
4.016					
4.015					
3.985					
4.031					
3.984					
4					
3.985					
3.984					
4.016					
4					
3.984					
4					
4					
4					
4					
4.031					
4					
4					
4.016					
4					
4.031					
4					
4.016					
4.015					
4					
3.985					
4.031					
3.984					
4.032					
4					
4.015					
4.032					
4.015					
4					
4					
4.016					
4.015					
4.016					
4.016					
4.015					
4.016					
4					
4					
4					
3.984					
4.016					
4.016					
4					
4					
4.015					
4.016					
4.015					
4.016					
4					
4.016					
4.015					
3.984					
4					
4					
3.985					
4					
4.016					
4					
4					
4					
4.016					
4					
4.015					
4.016					
3.984					
4					
3.985					
4					
4					
4.031					
4					
4					
4					
4					
4.015					
4.016					
4					
4					
4.016					
3.984					
3.984					
4.016					
4					
4.031					
4.016					
4					
4.016					
4					
4					
4.015					
4.016					
3.969					
4					
4					
4					
4					
4.016					
4					
4					
3.984					
4					
3.985					
4					
4					
4					
3.984					
4					
4.016					
3.984					
4					
4					
4.016					
3.984					
4.016					
4					
3.984					
4					
4					
4					
4					
4.015					
3.969					
4.016					
4.015					
4					
4.016					
4.015					
4					
4					
4.032					
3.984					
4.031					
4					
3.985					
4.032					
4					
4.015					
4.016					
4.015					
4.016					
4					
4.016					
4					
4					
4.015					
4					
4.016					
4.016					
4					
4.015					
4					
4					
3.985					
4					
3.984					
4.016					
4.016					
3.984					
4					
4					
3.985					
4					
4					
3.984					
4					
3.984					
4.016					
3.984					
4.016					
4.016					
3.984					
4.016					
4.031					
4.031					
3.984					
4.032					
4.031					
4					
4					
4.016					
4.015					
3.985					
4.015					
4.016					
4					
4					
4.031					
4					
3.984					
4					
4					
4					
4					
3.985					
4.015					
4					
3.985					
4					
4					
4					
3.984					
4					
3.985					
4					
4.015					
3.985					
3.985					
4					
4.015					
4.016					
3.984					
3.985					
4					
3.984					
3.969					
4					
3.984					
3.969					
4.015					
4.016					
4					
4					
4.016					
4.015					
4					
4.016					
3.984					
4					
4					
3.985					
3.984					
3.984					
4					
4					
4					
4					
4					
4					
4.016					
3.984					
4					
3.985					
3.984					
4.016					
4					
4					
4.015					
4					
4					
4					
3.984					
4					
4					
3.969					
3.985					
4					
4					
3.984					
4					
3.984					
3.985					
4					
3.984					
4					
4.016					
4					
4.015					
4					
3.969					
3.984					
3.985					
4					
4					
4.015					
4					
4					
4					
4					
4					
3.985					
4					
3.984					
4.016					
4					
4					
4					
3.984					
4.016					
3.984					
3.985					
4.015					
4					
4					
4.031					
4.016					
3.984					
4					
4					
3.984					
4					
4.016					
4					
3.984					
4.016					
3.984					
4					
4.016					
4					
4					
4					
4.015					
3.985					
4.015					
3.985					
4.015					
4.016					
4					
4					
4.031					
4					
3.985					
4.015					
4.031					
4					
4.016					
3.984					
4					
4.016					
3.969					
4					
3.984					
4					
3.985					
4.015					
3.953					
4					
4.016					
4.016					
4					
4.015					
3.985					
4.015					
4					
4					
4					
4					
4					
4					
4.016					
4					
3.984					
4.016					
3.984					
4					
4					
3.985					
4					
4.015					
3.969					
3.984					
4.016					
3.984					
3.985					
4.031					
4					
4					
4					
3.984					
4					
4					
3.985					
3.984					
3.984					
4					
3.984					
4					
3.985					
3.984					
3.969					
4.016					
4					
4					
4					
4.031					
4					
3.984					
4					
3.984					
4.016					
4					
4.015					
3.985					
4.015					
4					
4					
4					
4.016					
4					
4.063					
4.031					
4					
4.015					
4					
3.985					
4.015					
3.984					
4					
4.032					
4					
4					
4.015					
4.016					
4					
4					
4					
4.016					
4					
4					
4.015					
4					
4.016					
4					
4					
3.985					
